pedal_id	builder	model	photo_count	primary_photo_source
DISC-0093	Monsterpiece Fuzz	Monsterpiece Fuzz NPN Jr. Fuzz	0	
DISC-0094	Monsterpiece Fuzz	Monsterpiece Fuzz PNP Fuzz	0	
DISC-0095	Monsterpiece Fuzz	Monsterpiece Fuzz PNP Jr. Fuzz	0	
DISC-0096	Monsterpiece Fuzz	Monsterpiece Fuzz Puma Fuzz	0	
DISC-0097	Monsterpiece Fuzz	Monsterpiece Fuzz SS (Scratchy Snatch)	0	
DISC-0098	Monsterpiece Fuzz	Monsterpiece Fuzz STUD Overdrive	0	
DISC-0099	Monsterpiece Fuzz	Monsterpiece Fuzz Supa Fuzz	0	
DISC-0100	Monsterpiece Fuzz	Monsterpiece Fuzz Two-Headed Monster	0	
DISC-0101	Blackout Effectors	Blackout Effectors A Seriously Special Twosome Dual Fuzz	0	
DISC-0102	Blackout Effectors	Blackout Effectors A Very Special Twosome Dual Fuzz	0	
DISC-0103	Blackout Effectors	Blackout Effectors Blunderbuss - Hybrid Fuzz	0	
DISC-0104	Blackout Effectors	Blackout Effectors Crystal Dagger	0	
DISC-0105	Blackout Effectors	Blackout Effectors Fix'D Fuzz	0	
DISC-0106	Blackout Effectors	Blackout Effectors Fix'D Fuzz Deluxe	0	
DISC-0107	Blackout Effectors	Blackout Effectors FUBÄR	0	
DISC-0108	Blackout Effectors	Blackout Effectors Fuzz Bear	0	
DISC-0109	Blackout Effectors	Blackout Effectors Musket Fuzz	0	
DISC-0110	Blackout Effectors	Blackout Effectors Special Twosome Deluxe	0	
DISC-0111	Blackout Effectors	Blackout Effectors Twosome Dual Fuzz	0	
DISC-0112	Stomp Under Foot	Stomp Under Foot (Vintage series) Green Russian	0	
DISC-0113	Stomp Under Foot	Stomp Under Foot / Black Book Fuzz Honey	0	
DISC-0114	Stomp Under Foot	Stomp Under Foot Alabaster Fuzz	0	
DISC-0115	Stomp Under Foot	Stomp Under Foot Civil Unrest	0	
DISC-0116	Stomp Under Foot	Stomp Under Foot Cosmonaut	0	
DISC-0117	Stomp Under Foot	Stomp Under Foot Demogorgon	0	
DISC-0118	Stomp Under Foot	Stomp Under Foot Dire Wolf	0	
DISC-0119	Stomp Under Foot	Stomp Under Foot Dirt Preacher	0	
DISC-0120	Stomp Under Foot	Stomp Under Foot Dirty Rooster	0	
DISC-0121	Stomp Under Foot	Stomp Under Foot Elk Big Mag Sustainar	0	
DISC-0122	Stomp Under Foot	Stomp Under Foot Full Powered Halo	0	
DISC-0123	Stomp Under Foot	Stomp Under Foot Greasy Creek Fuzz Machine	0	
DISC-0124	Stomp Under Foot	Stomp Under Foot Halo Bender	0	
