Builder,Pedal,Catalog Type,Status,Attempts,Last Failure,Deep Review Cycles
BFFX Boutique Pedals,Kairen,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.mercadolivre.com.br"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Big Monk Electronic Device Co.,Monk Boost,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":2,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Bigfoot F.X.,Fuzz Hog,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":195,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Bispell Audio,Proxy,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Black Cat Pedals,D-II Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":162,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Blackhawk Amplifiers,Basilisk Fuzz,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
BlackOutEffectors,FUBÄR,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""blackouteffectors.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":191,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":24}]",5
Blakemore Effects,Deus Ex Machina,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":90,""verifiedSearchCandidates"":1,""rawHtmlCandidates"":0}]",5
BoX,Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":194,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Brimstone Audio,XD-1 Crossover Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
BSM,FassBender Fuzz Machine,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Build Your Own Clone,855 Drive,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":2,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Build Your Own Clone,B.G. Fuzz,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":161,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Build Your Own Clone,E.S.V. Fuzz,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":163,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
Build Your Own Clone,Fuzz Clone,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
Build Your Own Clone,Li'l Fuzz,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":174,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
C.I.C,MOD-7 Overdrive,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":162,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
C.Q.O.,Super Distortion,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":111,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
C14 Devices,Tone Chaser,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":2,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
Cajita Stompboxes,Bdi.ts with Overdrive,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""pedalescajita.mitiendanube.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":772,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":24}]",4
Cameltone Electronics,Big Stuff,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
Canvas Analog Devices,The Metamorphosis,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":94,""verifiedSearchCandidates"":1,""rawHtmlCandidates"":0}]",4
Casimir Effects Pedals,Entropy Fuzz,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
Caswell Modern Electronics (CME),Shark Mouth - Bass Synth Fuzz,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
CAT Sound,Dancing - Distortion,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
CAT Sound,DriveCenter Bass,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
CatastroFX,Outbreak,,PARKED,12,"PARKED after 12 deep-review attempts: no usable exact-model image candidate found [{""sourceHost"":""www.guitarpedalx.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",4
